states,Deaths_17_sep,Deaths_7_may_2021,deaths_17_sep_20_pm,deaths_7_may_21_pm,pop_2011,GSDP_per_capita_18to19,Age>60_elderly_india,literacy,urban,GGI_19,below_poverty,slum_percent,expenditure_health,drinking_water_within_premisis,Bathroom_available,Bathing_in_enclosure_without_roof,Closed_drainage,No drainage,unsafe_water_sanitation_handwash_percent_deaths,BCG,POLIO,DPT,Measles,Hepatitis,Varicella and herpes zoster,Acute hepatitis B,Acute hepatitis  E,vit_A,Trichuriasis,leprosy,hookworm,Cystic echinococous,Ascaris,Gout,psoriasis,diabetes melitis type 2,Asthama,IBD,Measles,Rabies,Meningitis,Acute_hep,Dengue,Whooping_cough,Diptheria,UTI,Chlamydia,upper_res,Interstitial lung disease and pulmonary sarcoidosis,child_maternal_nut,hi_bmi_deaths,hi_fas_plasma_glu,hi_sys_bp,Breast  cancer,Brain and central nervous system   cancer,Prostate    cancer,Kidney cancer,Hodgkin lymphoma,Non-Hodgkin lymphoma
Jammu & Kashmir and Ladakh,951,2612,77.57924687,213.0778053,12258433,110890,7.4,86.61,26.11,4.04,10.3,0.56,5.93,48.2,52.4,8,12.6,52.2,0.028783123,95.6,83.8,88.1,86.2,70.3,0.000636438,0.000634149,0.00030652,64.7,0.064454881,0.000130831,0,2.83E-05,0.122398978,0.004247885,0.003677389,0.060357033,0.017353609,0.000232048,3.13E-05,1.59E-07,0.001498892,0.002698724,0.000458292,0.000185764,6.89E-09,0.001421069,0.010146455,0.027834272,0.000758003,0.047036187,0.072501844,0.112681774,0.154490642,0.000691749,4.09E-05,0.000247652,4.25E-05,1.42E-05,0
Jharkhand,590,3615,17.88521897,109.5848586,32988134,79937,7.1,67.63,24.05,4.23,37,0.68,4.82,23.2,16.5,9,7.2,70.5,0.116674415,95.8,73.8,82.4,82.6,56.4,0.000628607,0.00109002,0.000313979,52.9,0.090172745,0.000275154,0.064018585,2.82E-05,0.133227615,0.003941724,0.00378389,0.061009952,0.01416509,0.000195351,4.86E-05,2.05E-07,0.001526969,0.003338902,0.000772574,0.000283789,7.76E-09,0.001342082,0.010319743,0.027294851,0.000623099,0.082796809,0.035498401,0.092616648,0.12647835,0.000595934,2.88E-05,0.000145829,2.14E-05,7.71E-06,0
Karnataka,7629,17804,124.8704954,291.4135928,61095297,232874,7.7,75.6,38.67,5.1,20.9,4.05,5.03,44.5,74.8,11.5,26.1,39.3,0.046701779,92.5,74.6,77.9,82.4,58.9,0.000633883,0.000839898,0.000311083,78.7,0.009539686,0.000172679,0.002084506,2.88E-05,0.067647121,0.003895446,0.003286219,0.078959285,0.033645672,0.00021119,4.28E-05,7.65E-08,0.001395052,0.002777074,0.000958948,0.000283581,1.13E-08,0.00162782,0.009927316,0.026914408,0.00084864,0.030833537,0.072795204,0.157985988,0.196004271,0.000968485,4.24E-05,0.000183554,4.16E-05,1.41E-05,1.89E-06
Kerala,490,5683,14.66799692,170.1188296,33406061,225484,12.6,93.91,47.7,4.98,7.1,0.32,5.85,77.7,81.2,4.6,25.2,53.6,0.023183792,98.1,88.5,90.4,89.4,82.4,0.000636342,0.000551703,0.000309211,74.4,0,7.29E-05,0,2.93E-05,0.057691866,0.004336389,0.002904044,0.069067253,0.061874666,0.000258012,2.17E-05,2.35E-08,0.001558368,0.00222525,0.001387419,0.000151975,3.27E-09,0.00158936,0.010054989,0.025956736,0.00066369,0.008405107,0.101101829,0.188719296,0.26185839,0.001518113,5.40E-05,0.000319838,6.46E-05,3.40E-05,5.27E-05
Madhya Pradesh,1877,6244,25.84445091,85.97376211,72626809,99025,7.9,70.63,27.63,4.85,31.6,7.06,4.17,23.9,25.8,21.4,9.8,60.1,0.076824488,91.6,63.6,73.4,79.6,56.3,0.000631617,0.000912133,0.000314559,60.4,0.083317988,0.000267609,0.028806498,2.85E-05,0.101085206,0.003800061,0.00380742,0.063114284,0.021519133,0.000186336,5.80E-05,1.77E-07,0.001774441,0.003184571,0.000862259,0.0004164,2.21E-08,0.001357058,0.010335685,0.027560278,0.000707119,0.087080377,0.043868803,0.094199684,0.123603593,0.000836063,3.75E-05,0.000159268,2.74E-05,1.20E-05,5.22E-07
Maharashtra,31351,74413,278.9871954,662.18858,112374333,216375,9.9,83.2,45.22,5.4,17.4,19.75,5.08,59.4,64.3,21.1,33.2,32.5,0.041579697,90,67,74.9,82.8,60.8,0.000637084,0.000907301,0.000308104,70.5,0.019556242,0.000120515,0,2.87E-05,0.047346231,0.004245698,0.003251341,0.060601863,0.017759853,0.000230586,3.70E-05,1.27E-07,0.001356295,0.002818043,0.004180218,0.000308124,1.12E-08,0.001409327,0.01016392,0.026934853,0.000784247,0.03104198,0.07201096,0.131061303,0.185281063,0.001224806,4.53E-05,0.000220734,4.88E-05,2.09E-05,8.33E-06
Manipur,51,449,17.85843097,157.2242256,2855794,82793,7,79.85,30.21,3.93,36.9,0.12,5.45,15.5,31.1,20.9,4,48.1,0.049596978,91.2,76.6,77.8,74.2,69.9,0.000634492,0.001412565,0.000311885,32.1,0.062442496,0.000163754,0.011888949,2.87E-05,0.268726602,0.003957194,0.003471415,0.073215938,0.060049037,0.000206757,6.14E-05,1.26E-07,0.001600658,0.003567331,0.00063645,0.000342776,1.03E-08,0.001404214,0.01018747,0.027488923,0.000546053,0.044100777,0.05592892,0.14206597,0.148703107,0.000650607,2.97E-05,0.000194125,3.22E-05,7.54E-06,0
Meghalaya,32,199,10.78570853,67.07362493,2966889,96015,4.7,75.48,20.07,3.81,11.9,0.19,6.73,24.1,33.3,6.3,5.7,64.7,0.055490082,85.9,71,74,71.9,62.9,0.000630541,0.001247144,0.000308458,54.4,0.063148547,0.000188217,0.009915025,2.86E-05,0.219419189,0.003830451,0.003615629,0.054616821,0.166965901,0.000202473,7.39E-05,9.75E-08,0.001599474,0.003672448,0.000750476,0.000415199,1.40E-08,0.001389071,0.01022254,0.028171039,0.00052941,0.082378564,0.038282202,0.07584265,0.112786167,0.000687383,2.99E-05,0.000165817,2.92E-05,5.79E-06,1.41E-06
Nagaland,10,122,5.054328982,61.66281358,1978502,129978,5.2,80.11,28.86,3.55,18.9,0.1,5.79,29.3,52.4,30.1,4.8,49.8,0.035223018,68.1,52.5,52,50.4,45.8,0.000637183,0.001216248,0.000310249,27.1,0.063463874,0.000145357,0.008963816,2.87E-05,0.150702682,0.004027666,0.003425042,0.061716929,0.055417274,0.000213886,0.000114142,1.71E-07,0.001523229,0.003567446,0.000668226,0.000695455,4.84E-08,0.001403969,0.010358066,0.028275202,0.000525281,0.061963308,0.043135587,0.096505402,0.170168704,0.000871783,3.55E-05,0.000204601,3.73E-05,8.31E-06,0
Odisha,722,2193,17.20103517,52.24635751,41974218,112907,9.5,72.9,16.69,4.44,32.6,1.93,4.8,22.4,14.1,5.6,4.3,80.7,0.113502143,94.1,82.8,89.2,87.9,83.2,0.000630729,0.000936976,0.000316149,69.1,0.084651173,0.000255367,0.03492502,2.86E-05,0.07931826,0.003937485,0.003560216,0.063643501,0.068818263,0.000191285,3.39E-05,3.61E-07,0.001382003,0.002954415,0.000911662,0.000194046,9.45E-09,0.001371348,0.010277399,0.026799499,0.000479926,0.056622309,0.042865079,0.096708894,0.128127137,0.000606702,3.61E-05,0.000163094,3.02E-05,1.10E-05,1.07E-07
Punjab,2646,10144,95.37424804,365.6373289,27743338,171906,10.3,86.6,37.48,4.57,8.3,3.02,5.87,85.9,71.5,17.5,27.8,15.2,0.035391848,98.2,93.7,94.5,93.1,91,0.00063511,0.000646354,0.000307765,70.6,0,0.000124489,0.005762657,2.85E-05,0.103354077,0.004604575,0.003521767,0.080825446,0.012584849,0.000228761,2.25E-05,1.50E-07,0.001330816,0.002482066,0.00103161,0.000102136,5.50E-09,0.001405717,0.010148749,0.02672514,0.000610558,0.02938373,0.146447746,0.202976504,0.283445325,0.001292847,4.35E-05,0.000227181,4.43E-05,1.80E-05,5.73E-06
Rajasthan,1293,5346,18.8625745,77.98864911,68548437,123343,7.5,67.06,24.87,4.8,14.7,4.29,5.61,35,36.8,18.7,10.7,58.5,0.053932726,88.8,65.4,71.6,78.1,53.1,0.000635926,0.000877828,0.000315594,39.6,0.006080063,0.000211454,0.004339056,2.87E-05,0.006732332,0.003861139,0.003874681,0.057589383,0.039166957,0.000199485,6.34E-05,1.65E-07,0.001506688,0.003198984,0.000908162,0.000462542,2.53E-08,0.001391807,0.010320906,0.027901822,0.000983192,0.09058949,0.039524686,0.064762595,0.101279136,0.000832911,3.83E-05,0.000167018,3.40E-05,1.33E-05,3.01E-06
Sikkim,23,160,37.66928659,262.0472111,610577,435199,6.7,82.2,25.15,4.21,8.2,0.01,5.66,52.6,65.1,3.5,14.6,47.3,0.034111517,98.9,87.7,93,93.3,84.1,0.000634944,0.001425796,0.00029732,84.3,0,0.00011704,0.006718757,2.84E-05,0.091550195,0.004443204,0.003442867,0.067399915,0.019375984,0.000240446,1.79E-05,1.01E-07,0.001186713,0.00330227,0.000388436,0.000102953,3.95E-09,0.001400789,0.010132756,0.027150526,0.000699789,0.027930378,0.075965028,0.116243287,0.163996839,0.000601974,3.17E-05,0.00022014,3.73E-05,1.25E-05,1.06E-06
Tamil Nadu,8618,15171,119.4505165,210.2789262,72147030,215784,10.4,80.33,48.4,5.62,11.3,8.73,4.99,34.9,49.9,14.2,25.4,49.7,0.034573241,94.9,82.3,84.5,85.1,68.2,0.00063431,0.000704357,0.000310553,68.3,0,0.000117608,0,2.89E-05,0.152679624,0.004409662,0.003055202,0.096449796,0.018983148,0.000218007,3.13E-05,8.19E-08,0.001047262,0.002454661,0.001167323,0.000189324,7.04E-09,0.001407013,0.009861792,0.026378626,0.000635925,0.01803747,0.127780889,0.221979596,0.221254613,0.001118063,4.12E-05,0.0002111,4.02E-05,2.18E-05,2.46E-05
Tripura,222,401,60.42597043,109.1478115,3673917,125459,7.9,87.75,26.17,4.5,14,0.04,6.62,37.1,18.9,13.2,3.7,73.4,0.048975948,82.4,70.1,71.1,69.7,54.4,0.000631429,0.001065562,0.000312046,62.8,0.059851525,0.000186402,0.007668897,2.84E-05,0.241279548,0.003857896,0.003571003,0.057396296,0.054726721,0.000207652,5.48E-05,1.66E-07,0.001551306,0.002936061,0.000815313,0.000304958,1.07E-08,0.00139435,0.010187213,0.026932237,0.000675751,0.039955331,0.04636289,0.111320574,0.20552912,0.00057576,2.53E-05,0.0001526,2.58E-05,5.95E-06,2.00E-07
Uttar Pradesh,4771,14873,23.87740405,74.43484184,199812341,74402,7.7,69.72,22.27,4.25,29.4,11.75,5.07,51.9,29,26.1,12.9,31.1,0.088079294,87.6,68.3,66.5,70.8,52.8,0.000634043,0.001117401,0.000317917,39.5,0.080424778,0.000340344,0.024175256,2.85E-05,0.087741287,0.003860184,0.003846352,0.069732669,0.021633949,0.00018703,8.79E-05,2.69E-07,0.001903592,0.003578668,0.000930285,0.000553826,3.19E-08,0.001346564,0.010394313,0.028031689,0.000960389,0.102998808,0.033904125,0.081785505,0.090524433,0.000869717,3.66E-05,0.000165749,2.87E-05,9.64E-06,3.45E-09
Uttarakhand,460,3430,45.6064528,340.0655067,10086292,220257,8.9,79.63,30.23,4.87,11.3,0.87,6.07,58.3,60.5,8.8,19,38.9,0.033457691,92.8,68,80,80.6,59.4,0.000636341,0.000948125,0.00030948,36.9,0.04517854,0.000153902,0,2.88E-05,0.073066578,0.004070804,0.003512867,0.07915318,0.020351152,0.000204092,4.58E-05,1.04E-07,0.001493797,0.003001294,0.0007658,0.000289836,1.14E-08,0.001369652,0.010374502,0.02747507,0.000875868,0.036309265,0.066676187,0.121208715,0.14415257,0.000792534,3.97E-05,0.000211703,4.84E-05,1.23E-05,2.93E-07
West Bengal,4183,12076,45.8279803,132.3018623,91276115,110728,8.5,77.08,31.87,4.84,20,9.9,5.33,38.6,27.1,8.7,9.2,68.4,0.055650703,97.5,87.9,92.7,92.8,86.4,0.000630691,0.000848382,0.000315064,68.4,0.063545775,0.000146442,0.007767262,2.82E-05,0.162965459,0.003991947,0.003590608,0.057492901,0.024334122,0.000218205,2.30E-05,1.30E-07,0.001503061,0.002692972,0.001009161,0.000122825,5.25E-09,0.001396511,0.010141769,0.026829565,0.000661141,0.038600305,0.059203278,0.123068794,0.227541979,0.00079346,3.76E-05,0.000189349,3.68E-05,1.84E-05,0
